PARENTESCO,VALOR_ASIG_RETIRO,REAJUSTE,TOTAL_ASIGNACION,ADICIONALES,TOTAL_DEVENGADO,TOTAL_DESCUENTO,NETO_PAGAR,COSTO TOTAL_NOMINA_2019,TOTAL_PRESUPUESTO GENERAL_NACION_2019,FUERZA,GRADO_ALFABETICO,RANGO,SEXO,EDAD,CIUDAD,DPTO,PAIS
TITULAR,2307510,0,2307510,0,2176897,605983,1570914,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,56,BOGOTÁ,BOGOTÁ D.C,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,79229,1205345,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,58,VILLAVICENCIO,META,COLOMBIA
TITULAR,1523866,0,1523866,0,1437610,390106,1047504,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,PUERTO BERRIO,ANTIOQUIA,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,242743,1041831,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,MONTERIA,CORDOBA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,726997,1290294,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,BUCARAMANGA,SANTANDER,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,132013,1885278,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,ALBAN (SAN JOSE),NARIÑO,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,323298,961276,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,52,PASTO,NARIÑO,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,656674,1360617,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,52,BARRANCABERMEJA,SANTANDER,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,100865,1916426,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,51,GIRON,SANTANDER,COLOMBIA
TITULAR,1612911,0,1612911,0,1521614,312136,1209478,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,FLORENCIA,CAQUETA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,978979,1038312,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,56,SOLEDAD,ATLANTICO,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,117565,1899726,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,BOGOTÁ,BOGOTÁ D.C,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,323298,961276,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,BARRANQUILLA,ATLANTICO,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,978619,1038672,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,59,VALLEDUPAR,CESAR,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,870346,1146945,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,VALLEDUPAR,CESAR,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,822920,1194371,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,POPAYAN,CAUCA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,933515,1083776,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,SANTA MARTA,MAGDALENA,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,289260,1574995,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,58,MEDELLIN,ANTIOQUIA,COLOMBIA
TITULAR,1523866,0,1523866,0,1437610,71880,1365730,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,59,SAN GIL,SANTANDER,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,313569,1550686,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,BOGOTÁ,CUNDINAMARCA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,863404,1153887,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,60,BUGA,VALLE DEL CAUCA,COLOMBIA
TITULAR,1450693,0,1450693,0,1368578,68429,1300149,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,60,VALLEDUPAR,CESAR,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,100865,1916426,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,MOCOA,PUTUMAYO,COLOMBIA
TITULAR,1523866,0,1523866,0,1437610,86880,1350730,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,GRAMALOTE,NORTE DE SANTANDER,COLOMBIA
